name,ingredients,difficulty,time
김치볶음밥,"김치,밥,계란,대파",쉬움,10분
참치김치찌개,"참치,김치,두부,대파",보통,20분
계란말이,"계란,소금,당근,대파",쉬움,10분
오므라이스,"밥,계란,양파,케찹",보통,15분
된장찌개,"된장,두부,애호박,양파",보통,20분
라면,"라면,계란,대파",쉬움,5분
제육볶음,"돼지고기,고추장,양파,대파",보통,25분
불고기,"소고기,간장,양파,당근",보통,30분
카레라이스,"카레,감자,당근,양파",쉬움,20분
짜파게티,"짜파게티,계란,오이",쉬움,8분
비빔밥,"밥,고추장,계란,나물",보통,15분
김치전,"김치,부침가루,계란,대파",쉬움,15분
떡볶이,"떡,고추장,어묵,대파",보통,20분
순두부찌개,"순두부,계란,고추가루,대파",보통,20분
감자볶음,"감자,양파,소금,식용유",쉬움,10분
감자전,"감자,소금,식용유",쉬움,15분
계란볶음밥,"밥,계란,대파,간장",쉬움,10분
치즈계란말이,"계란,치즈,소금,대파",쉬움,10분
햄볶음밥,"햄,밥,계란,양파",쉬움,10분
스팸마요덮밥,"스팸,계란,밥,마요네즈",쉬움,10분
참치마요덮밥,"참치,마요네즈,밥,김",쉬움,5분
된장국,"된장,두부,대파,양파",쉬움,15분
미역국,"미역,소고기,간장,참기름",보통,25분
콩나물국,"콩나물,대파,마늘,소금",쉬움,10분
닭볶음탕,"닭고기,감자,고추장,당근",어려움,40분
닭갈비,"닭고기,고추장,양배추,고구마",보통,30분
샌드위치,"식빵,햄,치즈,양상추",쉬움,5분
토스트,"식빵,계란,버터,설탕",쉬움,5분
프렌치토스트,"식빵,계란,우유,버터",쉬움,10분
파스타,"면,토마토소스,마늘,양파",보통,20분
크림파스타,"면,우유,치즈,베이컨",보통,20분
알리오올리오,"면,마늘,올리브유,페퍼론치노",보통,15분
볶음우동,"우동면,양배추,간장,양파",보통,15분
냉면,"냉면사리,오이,계란,육수",쉬움,10분
비빔냉면,"냉면사리,고추장,오이,계란",보통,15분
김밥,"김,밥,단무지,햄",보통,25분
유부초밥,"유부,밥,식초,당근",보통,20분
오징어볶음,"오징어,고추장,양파,대파",보통,25분
새우볶음밥,"새우,밥,계란,대파",쉬움,15분
소세지야채볶음,"소세지,양파,케찹,피망",쉬움,15분
마파두부,"두부,돼지고기,고추장,대파",보통,25분
부대찌개,"햄,소세지,김치,라면",보통,30분
김치찌개,"김치,돼지고기,두부,대파",보통,25분
어묵탕,"어묵,무,대파,간장",쉬움,15분
잔치국수,"국수,계란,김,대파",쉬움,15분
비빔국수,"국수,고추장,오이,계란",쉬움,15분
치킨마요덮밥,"치킨,마요네즈,밥,김",쉬움,10분
에그샐러드,"계란,마요네즈,오이,후추",쉬움,10분
시저샐러드,"양상추,치즈,베이컨,드레싱",쉬움,10분
닭가슴살샐러드,"닭가슴살,양상추,토마토,오이",쉬움,10분
고등어구이,"고등어,소금,식용유",쉬움,15분
삼겹살구이,"삼겹살,마늘,상추,쌈장",쉬움,20분
잡채,"당면,시금치,당근,소고기",어려움,40분
육개장,"소고기,고사리,대파,고추가루",어려움,50분
갈비탕,"소갈비,무,대파,마늘",어려움,60분
